index,Code,Date,Type,Typeord,Qty,SellQuantity,BuyQuantity,UnitPrice,Amount,ContractNote,Dtdifference,GainAmount,Expenses,Taxable_GainLoss,SubTotalExpenses,SubTotalGainAmount,SubTotalTaxable_GainLoss
129,RMX,2020-11-12,Totals,3,0,-150000,150000,0.0,0.0,0,0.0,0.0,0.0,0.0,31.257955867955868,-1114.071,-1114.071
130,RMX,2021-03-29,Buy,1,0,0,78643,0.011,865.073,116291303,458.0,-471.85799999999995,9.437955867955868,-471.85799999999995,0.0,0.0,0.0
131,RMX,2020-11-12,Buy,1,0,0,71357,0.014,998.998,109111432,595.0,-642.2130000000001,10.91,-642.2130000000001,0.0,0.0,0.0
132,RMX,2022-06-30,Sell,0,0,-150000,0,0.005,-750.0,134890047,0.0,0.0,10.91,0.0,0.0,0.0,0.0
133,SLX,2019-02-08,Totals,3,0,-15832,15832,0.0,0.0,0,0.0,0.0,0.0,0.0,87.16,14893.2896,7446.6448
134,SLX,2020-05-28,Buy,1,0,0,2591,0.355,919.805,100429821,557.0,2151.3073,10.91,1075.65365,0.0,0.0,0.0
135,SLX,2020-03-24,Buy,1,0,0,2971,0.175,519.925,97160946,622.0,3001.6013,10.91,1500.80065,0.0,0.0,0.0
136,SLX,2020-02-28,Buy,1,0,0,1575,0.33,519.75,95851609,647.0,1347.0974999999999,10.91,673.5487499999999,0.0,0.0,0.0
137,SLX,2019-02-08,Buy,1,0,0,8695,0.22,1912.9,88367055,1032.0,8393.2835,21.759999999999998,4196.64175,0.0,0.0,0.0
138,SLX,2021-12-06,Sell,0,0,-15832,0,1.1853,-18765.6696,127303635,0.0,0.0,32.67,0.0,0.0,0.0,0.0
139,SOR,2019-09-13,Totals,3,0,-9000,9000,0.0,0.0,0,0.0,0.0,0.0,0.0,32.67,1296.0,648.0
140,SOR,2019-09-13,Buy,1,0,0,9000,0.061,549.0,92527379,815.0,1296.0,10.91,648.0,0.0,0.0,0.0
141,SOR,2021-12-06,Sell,0,0,-9000,0,0.205,-1845.0,127309759,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
142,TMZ,2022-02-11,Totals,3,0,-366735,366735,0.0,0.0,0,0.0,0.0,0.0,0.0,154.94999999999996,-5847.9214999999995,-5847.9214999999995
143,TMZ,2022-06-02,Buy,1,0,0,76923,0.026,1999.9979999999998,133923621,27.0,-499.9994999999999,21.759999999999998,-499.9994999999999,0.0,0.0,0.0
144,TMZ,2022-05-13,Buy,1,0,0,111111,0.027,2999.997,133308832,47.0,-833.3325,21.759999999999998,-833.3325,0.0,0.0,0.0
145,TMZ,2022-05-10,Buy,1,0,0,37037,0.027,999.999,133117606,50.0,-277.7775,10.91,-277.7775,0.0,0.0,0.0
146,TMZ,2022-05-05,Buy,1,0,0,32258,0.031,999.998,132953467,55.0,-370.967,10.91,-370.967,0.0,0.0,0.0
147,TMZ,2022-05-04,Buy,1,0,0,32258,0.031,999.998,132921055,56.0,-370.967,10.91,-370.967,0.0,0.0,0.0
148,TMZ,2022-03-25,Buy,1,0,0,20408,0.049,999.9920000000001,131476515,96.0,-602.0360000000001,10.91,-602.0360000000001,0.0,0.0,0.0
149,TMZ,2022-02-11,Buy,1,0,0,82,0.071,5.821999999999999,129806168,94.0,-3.526,0.06334339167169584,-3.526,0.0,0.0,0.0
