Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"3DP","POINTERRA LIMITED FPO (ORDINARY FULLY PAID)",05/05/2022,"Buy","4761","0.2100","999.8100","10.0000","0.9100","132958757","1009.8100"
"ACB","A-CAP ENERGY LTD FPO (ORDINARY FULLY PAID)",21/06/2022,"Buy","9016","0.0610","549.9800","10.0000","0.9100","134568092","559.9800"
"ACB","A-CAP ENERGY LTD FPO (ORDINARY FULLY PAID)",21/06/2022,"Buy","10526","0.0570","599.9800","10.0000","0.9100","134572770","609.9800"
"ACB","A-CAP ENERGY LTD FPO (ORDINARY FULLY PAID)",24/06/2022,"Buy","9016","0.0610","549.9800","10.0000","0.9100","134690709","559.9800"
"ALA","AROVELLA THERAPEUTIC FPO (ORDINARY FULLY PAID)",21/12/2021,"Buy","28571","0.0350","999.9900","10.0000","0.9100","127802090","1009.9900"
"ALA","AROVELLA THERAPEUTIC FPO (ORDINARY FULLY PAID)",27/06/2022,"Buy","142857","0.0210","3000.0000","19.9500","1.8100","134751443","3019.9500"
"BMO","BASTION MINERALS FPO (ORDINARY FULLY PAID)",22/07/2021,"Buy","5882","0.1700","999.9400","10.0000","0.9100","120949983","1009.9400"
"BMO","BASTION MINERALS FPO (ORDINARY FULLY PAID)",13/01/2022,"Buy","6666","0.1500","999.9000","10.0000","0.9100","128484650","1009.9000"
"BMO","BASTION MINERALS FPO (ORDINARY FULLY PAID)",25/05/2022,"Buy","3500","0.1400","490.0000","10.0000","0.9100","133672711","500.0000"
"BMO","BASTION MINERALS FPO (ORDINARY FULLY PAID)",26/05/2022,"Buy","3642","0.1400","509.8800","0.0000","0.0000","133705711","509.8800"
"BSX","BLACKSTONE LTD FPO (ORDINARY FULLY PAID)",09/05/2022,"Buy","3225","0.3100","999.7500","10.0000","0.9100","133045990","1009.7500"
"BSX","BLACKSTONE LTD FPO (ORDINARY FULLY PAID)",10/05/2022,"Buy","7142","0.2750","1964.0500","19.9500","1.8100","133106103","1984.0000"
"BUX","BUXTON RESOURCES LTD FPO (ORDINARY FULLY PAID)",04/05/2022,"Buy","7632","0.0960","732.6700","10.0000","0.9100","132923101","742.6700"
"BUX","BUXTON RESOURCES LTD FPO (ORDINARY FULLY PAID)",09/05/2022,"Buy","10684","0.0930","993.6100","9.9600","0.9100","133038104","1003.5700"
"BUX","BUXTON RESOURCES LTD FPO (ORDINARY FULLY PAID)",30/05/2022,"Buy","11764","0.0850","999.9400","10.0000","0.9100","133793082","1009.9400"
"BUX","BUXTON RESOURCES LTD FPO (ORDINARY FULLY PAID)",09/06/2022,"Buy","12345","0.0810","999.9500","10.0000","0.9100","134129522","1009.9500"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",16/07/2021,"Buy","71428","0.0140","999.9900","10.0000","0.9100","120715001","1009.9900"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",16/07/2021,"Buy","142857","0.0140","2000.0000","19.9500","1.8100","120713501","2019.9500"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",16/07/2021,"Buy","71428","0.0140","999.9900","10.0000","0.9100","120699545","1009.9900"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",29/07/2021,"Buy","76923","0.0130","1000.0000","10.0000","0.9100","121207090","1010.0000"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",06/08/2021,"Buy","83333","0.0120","1000.0000","10.0000","0.9100","121518600","1010.0000"
"CDT","CASTLE MINERALS FPO (ORDINARY FULLY PAID)",04/01/2022,"Buy","15714","0.0350","549.9900","10.0000","0.9100","128093558","559.9900"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",21/10/2021,"Buy","3921","0.2550","999.8600","10.0000","0.9100","125236016","1009.8600"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",06/01/2022,"Buy","4545","0.2200","999.9000","10.0000","0.9100","128231530","1009.9000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",11/01/2022,"Buy","2924","0.2250","657.9000","10.0000","0.9100","128402982","667.9000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",25/01/2022,"Buy","4651","0.2150","999.9700","10.0000","0.9100","129108166","1009.9700"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",01/02/2022,"Buy","4651","0.2150","999.9700","10.0000","0.9100","129427677","1009.9700"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",01/02/2022,"Buy","9302","0.2150","1999.9300","19.9500","1.8100","129427679","2019.8800"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",01/02/2022,"Buy","4761","0.2100","999.8100","10.0000","0.9100","129436500","1009.8100"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",11/02/2022,"Buy","5128","0.1950","999.9600","10.0000","0.9100","129839457","1009.9600"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",14/03/2022,"Buy","5000","0.2000","1000.0000","10.0000","0.9100","131016338","1010.0000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",26/04/2022,"Buy","5263","0.1900","999.9700","10.0000","0.9100","132548508","1009.9700"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",27/04/2022,"Buy","5555","0.1800","999.9000","10.0000","0.9100","132607015","1009.9000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",11/05/2022,"Buy","6666","0.1500","999.9000","10.0000","0.9100","133206199","1009.9000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",16/05/2022,"Buy","6060","0.1650","999.9000","10.0000","0.9100","133361488","1009.9000"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",23/05/2022,"Buy","5405","0.1850","999.9300","10.0000","0.9100","133551649","1009.9300"
"CE1","CALIMA ENERGY FPO (ORDINARY FULLY PAID)",20/06/2022,"Buy","5555","0.1800","999.9000","10.0000","0.9100","134523941","1009.9000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",17/08/2021,"Buy","71428","0.0140","999.9900","10.0000","0.9100","122045022","1009.9900"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",02/11/2021,"Buy","83100","0.0120","997.2000","10.0000","0.9100","125765795","1007.2000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",17/12/2021,"Buy","81500","0.0110","896.5000","10.0000","0.9100","127736866","906.5000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",20/12/2021,"Buy","1682","0.0110","18.5000","0.0000","0.0000","127790205","18.5000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",21/12/2021,"Buy","7727","0.0110","85.0000","0.0000","0.0000","127791753","85.0000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",05/01/2022,"Buy","1","0.0110","0.0100","10.0000","0.9100","128180020","10.0100"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",06/01/2022,"Buy","90908","0.0110","999.9900","0.0000","0.0000","128223597","999.9900"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",25/01/2022,"Buy","90909","0.0110","1000.0000","10.0000","0.9100","129142403","1010.0000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",25/01/2022,"Buy","90909","0.0110","1000.0000","10.0000","0.9100","129142404","1010.0000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",24/05/2022,"Buy","200000","0.0050","1000.0000","10.0000","0.9100","133627904","1010.0000"
"CFO","CFOAM LIMITED FPO (ORDINARY FULLY PAID)",15/06/2022,"Buy","500000","0.0040","2000.0000","19.9500","1.8100","134336224","2019.9500"
"CPT","CIPHERPOINT LIMITED FPO (ORDINARY FULLY PAID)",20/01/2022,"Buy","68965","0.0290","1999.9900","19.9500","1.8100","128798123","2019.9400"
