Code,Company,Date,Type,Quantity,Unit Price ($),Trade Value ($),Brokerage+GST ($),GST ($),Contract Note,Total Value ($)
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",15/08/2019,"Buy","10612","0.0490","519.9900","10.0000","0.9100","91899488","529.9900"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",05/09/2019,"Buy","11224","0.0560","628.5400","10.0000","0.9100","92361323","638.5400"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",28/11/2019,"Buy","10181","0.0550","559.9600","10.0000","0.9100","93993188","569.9600"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",05/03/2020,"Buy","10196","0.0510","520.0000","10.0000","0.9100","96109888","530.0000"
"4DS","4DS MEMORY LIMITED FPO (ORDINARY FULLY PAID)",01/05/2020,"Buy","11818","0.0440","519.9900","10.0000","0.9100","99109144","529.9900"
"ADN","ANDROMEDA METALS LTD FPO (ORDINARY FULLY PAID)",18/11/2019,"Buy","10833","0.0480","519.9800","10.0000","0.9100","93780974","529.9800"
"ADN","ANDROMEDA METALS LTD FPO (ORDINARY FULLY PAID)",09/03/2020,"Buy","14444","0.0360","519.9800","10.0000","0.9100","96250756","529.9800"
"ADN","ANDROMEDA METALS LTD FPO (ORDINARY FULLY PAID)",18/03/2020,"Buy","20000","0.0260","520.0000","10.0000","0.9100","96854545","530.0000"
"ADO","ANTEO DIAGNOSTICS FPO (ORDINARY FULLY PAID)",12/09/2019,"Buy","40000","0.0140","560.0000","10.0000","0.9100","92515744","570.0000"
"ADO","ANTEO DIAGNOSTICS FPO (ORDINARY FULLY PAID)",19/09/2019,"Buy","40000","0.0130","520.0000","10.0000","0.9100","92652527","530.0000"
"ANZ","ANZ BANKING GRP LTD FPO (ORDINARY FULLY PAID)",12/06/2020,"Buy","52","18.7300","973.9600","10.0000","0.9100","101388709","983.9600"
